Title,List,Labels,Description,Checklist,Priority,Status,Start Date,Due Date
"Definição do Projeto",BACKLOG,#Planejamento,"Refinamento do escopo, objetivos e metodologia","Definir pergunta de pesquisa; Estabelecer objetivos específicos; Delimitar recorte temporal; Definir metodologia",Alta,Não iniciado,2024-01-17,2024-02-17
"Revisão Bibliográfica Inicial",BACKLOG,#Bibliografia,"Levantamento e organização da bibliografia básica","Catalogar referências existentes; Identificar lacunas bibliográficas; Criar banco de dados bibliográfico; Organizar fichas de leitura",Alta,Não iniciado,2024-01-17,2024-03-17
"Mapeamento de Fontes",BACKLOG,#Fontes,"Identificação e organização das fontes primárias","Mapear arquivos relevantes; Listar documentos necessários; Identificar possíveis entrevistados; Criar cronograma de visitas",Alta,Não iniciado,2024-02-01,2024-04-01
"Análise dos Relatórios Técnicos",TO DO,#Documentos,"Análise detalhada das missões técnicas","Relatório Taub; Relatório Cooke; Relatório Abbink; Relatório CMBEU",Média,Não iniciado,2024-03-01,2024-05-01
"Estudo Comparativo TVA-CHESF",TO DO,#Análise,"Análise comparativa entre os modelos","Estrutura organizacional; Aspectos técnicos; Impactos sociais; Resultados alcançados",Média,Não iniciado,2024-04-01,2024-06-01
"Pesquisa de Campo",TO DO,#Campo,"Trabalho de campo em Paulo Afonso","Agendar visitas; Preparar roteiros de entrevista; Organizar equipamentos; Definir cronograma local",Alta,Não iniciado,2024-05-01,2024-07-01
"Coleta de Dados",IN PROGRESS,#Dados,"Processo contínuo de coleta de informações","Documentos oficiais; Entrevistas; Registros fotográficos; Dados estatísticos",Alta,Em andamento,2024-03-01,2024-08-01
"Análise Documental",IN PROGRESS,#Análise,"Análise dos documentos coletados","Categorização; Transcrição; Análise preliminar; Cruzamento de dados",Alta,Em andamento,2024-04-01,2024-09-01
"Revisão de Literatura",REVIEW,#Revisão,"Revisão crítica da bibliografia","Verificar citações; Atualizar referências; Revisar argumentação; Validar fontes",Média,Não iniciado,2024-06-01,2024-10-01
"Validação Metodológica",REVIEW,#Metodologia,"Revisão da metodologia aplicada","Verificar consistência; Avaliar resultados parciais; Ajustar procedimentos; Documentar mudanças",Média,Não iniciado,2024-07-01,2024-11-01
"Produtos Finais",DONE,#Produtos,"Resultados da pesquisa","Tese/Dissertação; Artigos científicos; Material didático; Documentação visual",Alta,Não iniciado,2024-08-01,2024-12-01
"Divulgação",DONE,#Divulgação,"Disseminação dos resultados","Publicações acadêmicas; Apresentações em congressos; Material para mídia; Relatórios técnicos",Média,Não iniciado,2024-09-01,2025-01-01 